                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1756,                 2.8405,                0.90126,                0.87539,                0.73918,                0.81174,                0.55203,                 1.0285,                 1.9924,                0.86956,             0.00055146,             0.00055146,             0.00055146
                      1,                 1.1119,                 1.7063,                0.89017,                0.87147,                0.86309,                0.92387,                0.62616,                 1.0201,                 1.5397,                0.86987,              0.0010852,              0.0010852,              0.0010852
                      2,                 1.0624,                 1.3909,                0.88712,                0.88221,                0.81584,                0.90638,                0.60225,                 1.0211,                 1.1869,                0.87493,              0.0015969,              0.0015969,              0.0015969
                      3,                 1.0469,                  1.097,                0.88611,                0.90041,                0.79689,                0.91465,                0.65044,                0.89397,                0.80953,                0.85206,               0.001568,               0.001568,               0.001568
                      4,                0.96567,                0.92092,                0.86437,                0.90031,                0.83462,                 0.9264,                0.67055,                0.88354,                0.70543,                0.84621,               0.001568,               0.001568,               0.001568
                      5,                0.98136,                0.81929,                0.86634,                 0.9263,                0.80067,                0.91274,                0.63977,                0.88352,                0.69052,                0.84377,               0.001535,               0.001535,               0.001535
                      6,                0.93625,                0.76082,                 0.8595,                0.94081,                0.89716,                0.95066,                0.71255,                0.82309,                0.59674,                0.84008,               0.001502,               0.001502,               0.001502
                      7,                0.91992,                0.74983,                 0.8577,                 0.9345,                 0.8676,                0.94616,                0.71575,                 0.7889,                0.58062,                0.83065,               0.001469,               0.001469,               0.001469
                      8,                0.91477,                0.69576,                0.85747,                0.93522,                0.91516,                0.95594,                 0.7252,                0.76792,                0.56891,                0.82731,               0.001436,               0.001436,               0.001436
                      9,                0.86918,                  0.652,                0.85232,                 0.9375,                0.86679,                0.94885,                0.72912,                0.74922,                0.55355,                0.82308,              0.0014029,              0.0014029,              0.0014029
                     10,                 0.8716,                0.61833,                0.84528,                0.93824,                 0.8677,                0.95187,                0.72627,                0.73956,                0.54009,                0.82488,              0.0013699,              0.0013699,              0.0013699
                     11,                0.83696,                0.58956,                0.84441,                0.93164,                0.87905,                 0.9608,                0.74132,                0.76556,                0.52827,                0.82818,              0.0013369,              0.0013369,              0.0013369
                     12,                0.83713,                0.60273,                0.84103,                0.93459,                0.89252,                0.95741,                0.73961,                0.73974,                0.52409,                0.82467,              0.0013039,              0.0013039,              0.0013039
