                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1473,                 2.3992,                0.90222,                0.00799,                 0.9559,                0.52774,                0.36244,                 1.0091,                 2.8915,                0.86088,             0.00054921,             0.00054921,             0.00054921
                      1,                 1.0697,                  1.409,                0.87935,                0.84681,                 0.7824,                0.87485,                0.58236,                0.99668,                 1.1136,                0.86693,               0.001083,               0.001083,               0.001083
                      2,                 1.0416,                 1.2158,                 0.8752,                0.90042,                0.82191,                0.90784,                0.62556,                0.95837,                0.91533,                0.86098,              0.0015948,              0.0015948,              0.0015948
                      3,                0.99901,                 1.0375,                0.86786,                0.90463,                0.85081,                0.92424,                0.65888,                0.86235,                 0.8251,                0.84172,               0.001568,               0.001568,               0.001568
                      4,                0.95618,                0.91644,                0.86027,                0.94715,                0.85975,                0.94197,                0.68948,                0.83993,                0.71373,                0.83732,               0.001568,               0.001568,               0.001568
                      5,                0.93341,                0.83125,                0.85893,                0.95282,                0.87217,                0.95171,                0.70015,                0.83552,                0.63186,                0.83847,               0.001535,               0.001535,               0.001535
                      6,                0.92651,                0.74165,                0.85781,                0.94344,                0.84931,                0.94178,                0.69578,                0.80653,                0.59666,                0.83111,               0.001502,               0.001502,               0.001502
                      7,                0.87202,                0.71206,                0.84705,                0.94318,                 0.8303,                0.92265,                0.66192,                 0.8367,                0.59081,                 0.8354,               0.001469,               0.001469,               0.001469
                      8,                 0.8631,                0.66705,                0.84167,                0.97031,                0.87483,                0.94743,                0.73221,                0.74941,                0.55767,                 0.8225,               0.001436,               0.001436,               0.001436
                      9,                0.85459,                0.65416,                0.83967,                0.95151,                0.88118,                0.95787,                 0.7234,                0.78216,                0.53178,                0.82656,              0.0014029,              0.0014029,              0.0014029
                     10,                0.86246,                0.64805,                0.83717,                0.95883,                0.88676,                0.95374,                0.72186,                0.75647,                0.51859,                0.82924,              0.0013699,              0.0013699,              0.0013699
                     11,                0.83483,                 0.6169,                0.83913,                0.95327,                0.90613,                0.95717,                0.74803,                0.73384,                0.53736,                0.81968,              0.0013369,              0.0013369,              0.0013369
                     12,                0.80969,                0.57441,                  0.833,                0.96619,                0.89817,                0.95709,                0.74711,                0.71859,                0.46941,                0.81668,              0.0013039,              0.0013039,              0.0013039
                     13,                0.83201,                0.56793,                0.83736,                0.96607,                0.90098,                0.95827,                0.74463,                0.71407,                0.46829,                0.82005,              0.0012709,              0.0012709,              0.0012709
                     14,                0.82144,                0.56032,                0.83417,                0.96199,                0.87419,                0.95954,                0.74887,                 0.7133,                0.48311,                0.81939,              0.0012379,              0.0012379,              0.0012379
                     15,                0.80077,                0.54204,                0.83406,                0.96771,                0.87579,                0.94884,                0.74966,                 0.7141,                0.47655,                0.81627,              0.0012049,              0.0012049,              0.0012049
                     16,                0.77889,                 0.5247,                0.82537,                0.97266,                0.87862,                0.95219,                0.75969,                0.68596,                0.44813,                0.81244,              0.0011719,              0.0011719,              0.0011719
                     17,                0.74983,                0.50709,                0.82167,                0.96665,                0.90849,                0.96399,                0.76909,                0.68613,                 0.4389,                0.81049,              0.0011389,              0.0011389,              0.0011389
                     18,                0.75103,                0.50485,                0.82583,                0.96064,                0.89709,                 0.9574,                0.71701,                0.75264,                0.45974,                0.82208,              0.0011059,              0.0011059,              0.0011059
                     19,                0.77233,                0.50756,                0.82385,                0.95483,                0.89905,                0.96114,                0.75681,                0.68049,                0.45204,                0.81209,              0.0010729,              0.0010729,              0.0010729
                     20,                0.74341,                0.50182,                0.82396,                0.96818,                0.90094,                0.96262,                0.76974,                0.67132,                0.43374,                0.81093,              0.0010399,              0.0010399,              0.0010399
                     21,                 0.7483,                0.49035,                0.81772,                0.96251,                0.88121,                0.95676,                0.76889,                0.66261,                0.43904,                0.80949,              0.0010069,              0.0010069,              0.0010069
                     22,                0.73978,                0.48171,                 0.8241,                0.96745,                0.90519,                0.96245,                0.78027,                0.66422,                0.42031,                0.80719,             0.00097386,             0.00097386,             0.00097386
                     23,                0.74149,                0.48164,                 0.8243,                0.97082,                0.90196,                0.96439,                0.77969,                0.64878,                 0.4141,                 0.8075,             0.00094085,             0.00094085,             0.00094085
