                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.233,                 3.0445,                0.92065,                0.97786,                0.38042,                0.82984,                0.54343,                 1.0834,                 2.8325,                0.87496,             0.00054921,             0.00054921,             0.00054921
                      1,                 1.0531,                 1.7277,                0.88498,                0.91072,                0.83814,                0.93226,                0.66045,                0.95498,                  1.136,                 0.8594,             0.00099549,             0.00099549,             0.00099549
                      2,                 1.0069,                 1.3951,                0.87878,                0.90269,                0.82801,                0.93237,                0.65658,                  1.009,                 1.0462,                0.86082,              0.0013318,              0.0013318,              0.0013318
                      3,                0.94594,                 1.2027,                0.87186,                0.95928,                0.89825,                0.96121,                0.69609,                 0.8587,                0.81017,                 0.8436,              0.0011719,              0.0011719,              0.0011719
                      4,                0.89077,                 1.0123,                0.85284,                 0.9738,                 0.9165,                0.96515,                0.70931,                0.84599,                0.78705,                0.83637,              0.0011719,              0.0011719,              0.0011719
                      5,                0.86726,                0.93097,                0.85595,                 0.9456,                 0.9109,                 0.9587,                0.73819,                0.77423,                0.64815,                0.82698,              0.0010069,              0.0010069,              0.0010069
                      6,                 0.8466,                0.84657,                0.84966,                0.96347,                0.88745,                0.95976,                0.72584,                0.75548,                0.61168,                 0.8223,             0.00084184,             0.00084184,             0.00084184
                      7,                0.80797,                0.76478,                0.83466,                0.95306,                0.94043,                0.96645,                0.75785,                0.75289,                0.57871,                0.82138,              0.0006768,              0.0006768,              0.0006768
                      8,                0.77177,                0.71466,                 0.8295,                0.95872,                0.94418,                0.97008,                0.76667,                0.70265,                0.54934,                0.81662,             0.00051177,             0.00051177,             0.00051177
                      9,                0.74538,                 0.6793,                0.82811,                0.96647,                0.93028,                0.97105,                 0.7642,                0.70438,                0.51794,                0.81622,             0.00034674,             0.00034674,             0.00034674
