                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1824,                 3.6747,                0.91365,                0.94501,                0.62959,                0.89393,                0.59905,                 1.0558,                 2.4419,                0.88921,             0.00055146,             0.00055146,             0.00055146
                      1,                 1.1157,                 2.1191,                0.90705,                0.89903,                0.84654,                0.92354,                0.63071,                 1.0399,                 1.4382,                0.87775,             0.00099752,             0.00099752,             0.00099752
                      2,                 1.0892,                 1.6472,                0.90711,                  0.908,                0.85958,                0.93363,                0.65193,                0.98009,                 1.1969,                0.86857,              0.0013336,              0.0013336,              0.0013336
                      3,                0.99351,                 1.2915,                0.87928,                0.94124,                0.88082,                0.94456,                0.68061,                0.89601,                0.77485,                0.85292,              0.0011719,              0.0011719,              0.0011719
                      4,                 1.0082,                 1.1106,                0.88727,                0.90566,                0.89997,                0.94275,                0.64791,                 0.9894,                0.82065,                0.87018,              0.0011719,              0.0011719,              0.0011719
                      5,                0.96212,                0.94112,                0.86549,                0.92697,                0.92781,                 0.9545,                0.70529,                0.85218,                0.70955,                0.84011,              0.0010069,              0.0010069,              0.0010069
                      6,                0.90039,                0.81987,                0.85521,                0.91946,                0.88428,                0.94929,                0.69501,                0.86915,                 0.6061,                0.84168,             0.00084184,             0.00084184,             0.00084184
                      7,                 0.8523,                0.74762,                0.84509,                0.95452,                0.92649,                0.96231,                0.73209,                0.78073,                0.55247,                0.82844,              0.0006768,              0.0006768,              0.0006768
                      8,                0.82569,                0.69834,                0.83896,                0.95694,                0.91339,                0.96546,                0.75325,                0.73467,                0.52351,                0.82535,             0.00051177,             0.00051177,             0.00051177
                      9,                 0.7728,                0.63992,                0.82809,                 0.9575,                0.89505,                0.96476,                0.76578,                0.69336,                0.49182,                0.81922,             0.00034674,             0.00034674,             0.00034674
